female;phsrank;BA;AA;black;hispanic;id;exper;jc;univ;lwage;stotal;smcity;medcity;submed;lgcity;sublg;vlgcity;subvlg;ne;nc;south;totcoll
1;65;0;0;0;0;19;161;0;0;1.925.291;-.4417497;0;0;0;0;1;0;0;1;0;0;0
1;97;0;0;0;0;93;119;0;7.033.333;2.796.494;0;1;0;0;0;0;0;0;0;1;0;7.033.333
1;44;0;0;0;0;96;81;0;0;16.256;-1.357.003;0;0;0;0;1;0;0;1;0;0;0
1;34;0;0;0;1;119;39;.2666667;0;2.223.312;-.1900551;1;0;0;0;0;0;0;0;0;0;.2666667
1;80;0;0;0;0;132;141;0;0;1.642.083;0;0;0;0;0;0;0;0;0;0;1;0
0;59;0;0;0;0;156;165;0;0;2.079.442;1.388.757;1;0;0;0;0;0;0;0;0;1;0
0;81;1;0;0;0;163;127;.2666667;4.444.438;2.877.949;1.411.638;1;0;0;0;0;0;0;0;1;0;4.711.104
0;50;0;0;1;0;188;161;0;0;2.520.112;-.3731057;0;0;0;1;0;0;0;0;0;1;0
0;8;0;0;0;0;199;138;.0888887;0;2.525.729;0;1;0;0;0;0;0;0;0;0;0;.0888887
0;56;1;0;1;0;200;64;0;5.4;2.674.076;-1.402.765;0;0;0;0;0;0;0;0;0;1;5.4
1;46;1;0;0;0;262;119;0;4.1;1.984.131;-.2358177;0;1;0;0;0;0;0;0;1;0;4.1
1;87;0;0;0;0;263;105;0;0;2.252.994;1.068.418;1;0;0;0;0;0;0;0;0;1;0
1;42;0;0;0;0;287;124;.8888875;0;17.492;.5421474;0;0;0;0;0;0;1;0;0;0;.8888875
1;66;0;0;0;0;288;143;0;0;120.896;.5879101;0;0;0;0;0;0;0;0;1;0;0
0;43;0;1;0;0;360;160;2.766.667;0;2.014.903;.5650287;0;0;0;0;0;0;0;1;0;0;2.766.667
1;48;0;0;0;0;374;121;0;0;1.386.294;-.1671738;0;1;0;0;0;0;0;0;0;1;0
1;87;0;0;0;0;415;166;.9555542;0;2.197.225;.1760461;1;0;0;0;0;0;0;0;0;1;.9555542
1;99;1;0;0;0;425;118;0;4.533.325;2.022.283;1.434.519;0;0;1;0;0;0;0;0;0;1;4.533.325
1;57;0;0;1;0;448;103;0;0;1.475.643;-2.386.662;0;0;0;0;0;0;0;0;0;1;0
0;14;0;0;0;0;452;60;.3666667;0;2.251.292;0;0;0;0;0;1;0;0;0;0;0;.3666667
1;80;1;0;0;1;454;131;3.833.333;2.333.333;1.871.802;0;0;1;0;0;0;0;0;0;0;1;6.166.667
1;43;0;0;0;1;467;95;0;0;120.077;-1.082.427;1;0;0;0;0;0;0;0;0;0;0
1;54;0;0;0;0;493;59;0;1.3;2.086.289;0;0;0;0;0;1;0;0;1;0;0;1.3
1;88;0;0;0;0;499;161;0;1.9;2.169.054;.725198;1;0;0;0;0;0;0;0;0;1;1.9
0;68;0;0;0;0;513;122;0;0;2.407.946;.2218088;1;0;0;0;0;0;0;0;1;0;0
1;70;0;0;0;0;527;162;.1;0;2.169.054;-.7849696;0;0;1;0;0;0;0;0;0;1;.1
1;95;1;0;0;0;543;106;0;4.833.333;2.328.561;.7709606;0;0;0;0;1;0;0;0;1;0;4.833.333
0;85;1;0;0;0;547;60;2.1;3.283.333;2.586.259;-.0298858;0;0;0;0;0;0;0;0;0;0;5.383.333
1;52;0;0;0;0;560;107;.1;0;2.402.923;0;0;0;0;1;0;0;0;0;0;0;.1
0;85;0;0;0;0;572;165;.1555553;0;3.072.693;1.022.655;0;0;0;0;0;0;0;0;0;0;.1555553
1;41;1;0;1;0;591;136;0;4.199.994;2.495.246;-1.173.952;0;1;0;0;0;0;0;0;0;0;4.199.994
1;0;0;0;0;0;596;21;0;0;1.637.956;-1.379.884;0;0;0;1;0;0;0;0;0;0;0
1;83;0;0;0;0;600;113;0;0;1.848.619;-.2586991;0;0;1;0;0;0;0;1;0;0;0
1;85;1;0;0;0;616;111;0;6.2;2.351.375;.8853673;0;0;1;0;0;0;0;1;0;0;6.2
0;82;1;0;0;0;626;143;0;4;1.491.655;.4735034;0;0;0;0;0;0;0;1;0;0;4
1;19;1;0;0;0;635;112;2.133.333;1.933.331;2.058.947;.5879101;0;0;1;0;0;0;0;1;0;0;4.066.665
0;42;0;0;0;0;652;135;0;0;2.021.548;-.4875124;1;0;0;0;0;0;0;0;0;0;0
0;50;0;0;0;0;655;157;0;0;2.476.538;-.601919;0;0;0;0;0;1;0;0;0;1;0
1;59;1;0;0;0;671;86;.1111109;4.022.218;2.302.585;.0158769;0;0;0;0;1;0;0;0;0;1;4.133.329
1;26;1;0;1;0;712;49;2.644.442;2.666.667;2.815.674;-2.249.375;1;0;0;0;0;0;0;0;0;1;5.311.109
0;71;0;0;0;0;730;143;0;0;1.913.977;.0845208;0;0;0;0;0;0;0;0;0;1;0
1;84;0;0;0;1;743;166;0;0;2.219.203;.1760461;0;0;0;0;0;0;0;0;0;0;0
0;54;1;0;0;0;766;112;0;4.6;271.543;.9997739;0;0;0;0;0;0;1;0;1;0;4.6
0;39;1;0;0;0;781;129;0;4.416.663;2.154.665;.1760461;1;0;0;0;0;0;0;0;0;1;4.416.663
1;37;0;0;1;0;784;66;0;0;22.763;-.7163256;0;0;0;0;0;0;0;0;0;1;0
1;69;1;0;0;0;785;79;0;2.7;1.798.607;-.3502244;0;0;0;0;0;1;0;1;0;0;2.7
0;47;0;0;0;0;796;160;1.05;0;2.034.705;0;0;0;0;0;0;0;0;0;0;0;1.05
1;81;0;0;0;0;810;132;0;0;1.927.892;0;0;0;0;0;0;0;0;0;0;1;0
0;16;0;0;0;0;816;154;0;0;2.513.656;-.6248003;0;0;0;0;0;0;0;0;1;0;0
1;50;0;0;0;0;824;137;0;0;2.454.448;-.601919;0;1;0;0;0;0;0;0;0;0;0
1;44;1;0;0;0;829;94;0;4.1;1.693.779;-.1442924;1;0;0;0;0;0;0;0;0;0;4.1
0;49;0;0;1;0;843;118;0;1.5;2.029.463;.3133341;0;0;0;0;0;1;0;1;0;0;1.5
1;58;0;0;0;0;850;154;0;0;2.079.442;.0158769;0;1;0;0;0;0;0;1;0;0;0
1;35;0;0;0;0;851;142;0;.8666667;2.393.339;-.8536136;0;0;0;0;1;0;0;0;1;0;.8666667
1;50;0;0;0;0;861;73;0;3.433.333;1.559.724;.7480794;0;0;0;0;0;0;1;1;0;0;3.433.333
0;4;0;0;0;1;871;61;0;0;2.125.251;-1.448.528;0;0;0;0;0;0;0;0;0;1;0
1;65;0;0;1;0;874;154;0;1.399.998;2.484.907;-1.082.427;0;0;0;0;1;0;0;0;1;0;1.399.998
1;98;1;0;1;0;877;139;0;4.2;2.656.757;-.5561563;0;1;0;0;0;0;0;0;0;1;4.2
1;71;0;0;0;1;880;112;0;0;2.017.531;-.4875124;1;0;0;0;0;0;0;0;0;0;0
0;90;0;0;0;0;887;158;0;.7555536;.7657179;1.320.112;0;0;0;0;1;0;0;0;0;1;.7555536
1;32;0;0;0;0;894;46;0;0;188.099;-.6934443;1;0;0;0;0;0;0;1;0;0;0
1;91;0;0;0;1;939;113;0;.2;2.157.559;-.6476817;0;0;0;0;0;0;0;0;0;0;.2
1;18;0;0;0;0;954;122;0;0;1.635.105;-1.242.596;1;0;0;0;0;0;0;0;0;0;0
0;49;0;0;0;0;955;61;1.366.667;0;1.753.308;-.4875124;1;0;0;0;0;0;0;0;0;1;1.366.667
1;50;0;0;0;0;960;77;0;0;1.386.294;-.5103937;0;1;0;0;0;0;0;0;0;0;0
0;51;0;1;0;0;967;162;2.6;0;2.154.665;.3362154;1;0;0;0;0;0;0;1;0;0;2.6
0;68;0;0;1;0;973;150;0;0;2.508.785;-.6476817;0;0;0;0;0;0;0;0;0;1;0
1;50;1;0;0;0;987;108;0;2.1;2.788.093;2.029.434;0;0;0;0;0;1;0;1;0;0;2.1
0;22;0;0;0;1;991;150;.6;0;2.325.325;-1.357.003;1;0;0;0;0;0;0;0;0;0;.6
1;53;0;0;0;0;992;54;0;0;1.931.521;1.045.537;0;1;0;0;0;0;0;0;0;0;0
0;67;0;1;0;0;997;124;2.466.667;0;2.489.064;0;0;0;0;0;0;1;0;0;1;0;2.466.667
0;4;0;0;1;0;1001;148;0;0;2.525.729;-2.409.544;0;0;0;0;0;0;0;0;0;1;0
1;66;0;0;0;0;1007;86;0;0;1.122.518;-.2586991;0;0;0;0;0;0;0;1;0;0;0
1;83;0;0;0;0;1009;142;0;0;1.717.395;.1531648;0;0;1;0;0;0;0;1;0;0;0
